Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail
32;k.A.;;Hansjochen;Buß;03.06.2016;Wildpfad;199;54668;Ernzen;06525/7335617;0155/2151131;;
33;Frau;;Leongard;Ellmann;;Zum Erlenborn;139;57548;Kirchen;02741/64308131;0170/3236058;;leongard-94@open-mail.none
34;Herr;;Artur;Weyer;;Auf der Horst;200;56472;Fehl-Ritzhausen;02661/99518288;0153/3177552;;
35;Herr;;Walter;Wirsching;;Rachelstraße;185;71093;Weil;07157/33189057;0160/7259341;;w_wirsching@private.none
36;Frau;;Else;Geyer;;Höller Weg;199;66132;Saarbrücken;0681/76906676;0169/7369720;;
37;Herr;;Wendemar;Bartz;;Dünenstraße;64;54310;Menningen an der Sauer;06525/31004386;0153/2494872;06525/43399429;
38;Herr;;Hubert;Bauder;;Havelstraße;100b;88273;Fronreute;;0179/8659939;;hubert21@kitty.none
39;Frau;;Annedorle;Freudenstein;;Neufelder Straße;62;76307;Karlsbad;07202/99129554;0179/2368555;;
40;Herr;;Tassilo;Bruns;;Steinbachweg;160;82488;Ettal;08822/78106906;;;tassilo.bruns@hoster.none
41;Herr;;Ekhard;Schander;;Bachstelzenweg;99;55585;Hochstätten;06708/45393467;0153/1644261;;ekhard-2013@net-mail.none
42;k.A.;;Norwin;Wehrmann;;Greflingerstraße;183;89617;Untermarchtal;;;;
43;Frau;;Susen;Prahl;;Herbststraße;165;56414;Meudt;;;;s_1964@funmail.none
44;Herr;;Gernod;Cohrs;;Taeglichsbeckstraße;12;87471;Durach;0831/74048763;0168/4071551;0831/89928599;gernod_cohrs@live-mail.none
45;k.A.;;Edelmut;Bernhardt;;Birkhofstraße;19;55592;Rehborn;06753/90299636;0179/8781181;;edelmut.90@goggle-mail.none
46;Frau;;Adeltraud;Raum;;Auf dem Hüttenbaum;196;72175;Dornhan;;0168/2180311;07455/31801558;adeltraud_1956@live-mail.none
47;Frau;;Ilselore;Erkens;11.08.1988;Maasweg;51;53547;Kasbach-Ohlenberg;02644/82724718;0154/6418425;;ilselore_erkens@hoster.none
48;Herr;;Hilmar;Martini;;Nikolausweg;139;56269;Marienhausen;02689/82020552;0177/3153650;;
49;Frau;;Margarete;Hölscher;;Faulchenstraße;22;25767;Arkebek;04835/48369040;0153/3863376;;margarete_17@web.none
50;Herr;;Degenhard;Springer;04.09.1947;An der Hauptschule;18;67814;Dannenfels;06357/79850114;;;degenhard1947@quickmail.none
51;Herr;;Clemens;Dietel;;Borghorster Straße;139;82488;Ettal;08822/12929300;0165/6378349;;
52;Herr;;Leopold;Fleckenstein;17.11.1910;Römergraben;88;54619;Eschfeld;06550/4947209;;;leopold_fleckenstein@retromail.none
53;Frau;;Edith;Wessendorf;;Lagemannstraße;61;54422;Neuhütten;06503/34829470;0155/2489866;06503/7587434;edith-wessendorf@trashmail.none
54;Frau;;Anja;Linde;09.03.1929;Amberger Straße;165;54668;Prümzurlay;06525/13547960;0158/6957891;;anja.1929@hoster.none
55;Frau;;Ellengard;Oehl;;Tunnelstraße;23;25779;Glüsing;04836/47756738;;;e_oehl@net-mail.none
56;Herr;;Janik;Oetzel;;Rom;192;66919;Hermersberg;06333/30412727;0161/8405202;;
57;Frau;;Ingerose;Fasel;24.08.1960;Maasweg;196;07389;Bucha;03663/37647906;0154/5911976;;ingerose-fasel@spam-mail.none
58;Frau;;Gina;Wilken;;Weiner;120;56235;Hundsdorf;02623/35170532;0176/4729931;;ginawilken@justmail.none
59;Herr;;Achim;Asal;;Keltenstraße;175;67705;Trippstadt;06306/66064833;0157/2854099;;achim_asal@funmail.none
60;Frau;;Janina;Petri;;Schönbuchstraße;14;79865;Grafenhausen;;0161/6744357;;j_petri@hoster.none
61;Herr;;Karl;Matzat;08.10.1972;Ziegelhütter Weg;104;39606;Düsedau;;0167/8962916;;karl72@quickmail.none
62;Frau;;Theresa;Henry;;Sudfeldstraße;45;03130;Wolfshain;;;;theresa.henry@goggle-mail.none
63;Herr;;Ingbert;Rösel;12.10.2017;Brückenstraße;130;83486;Ramsau;08657/32264882;0155/9399693;;ingbertroesel@kitty.none
64;k.A.;;Jenny;Weichel;;Fischbachstraße;90;31621;Pennigsehl;;;;jenny.2002@mymail.none
65;Herr;;Rigobert;Watkins;;Schönbergstraße;13;37639;Bevern;;;;
66;Herr;;Ralph;Kaffenberger;;Bausenbergweg;69;24634;Arpsdorf;;0154/5189463;;ralph-kaffenberger@web.none
67;Herr;;Philip;Werning;;Rosenheck;156;88145;Opfenbach;08385/6043726;0169/1325461;;philip-werning@net-mail.none
68;Herr;;Wiethold;Baldwin;;Adalbertstraße;80 b;67591;Mölsheim;06243/53167554;0176/3346841;;wietholdbaldwin@web.none
69;Herr;;Harry;Bettin;;Am Sonnenhof;51b;58706;Menden;;;;harry.1976@goggle-mail.none
70;Frau;;Dahlia;Unglaub;;Im Kettengarten;86;85132;Schernfeld;08422/97629649;;;d_unglaub@justmail.none
71;Frau;;Valerie;Trost;;Stuifenstraße;161;97996;Niederstetten;07932/81659464;0176/2194443;07932/19703646;
72;Herr;;Engelhard;Rieser;;Böddinghauser Weg;39;45239;Essen;0201/29343256;;;engelhard_22@goggle-mail.none
73;Herr;;Wladislaus;Petermann;;Sandheck;117;66989;Höheischweiler;;0153/1141834;06334/40330188;w.petermann@retromail.none
74;Frau;;Gerborg;Händel;;In der Enke;137;72585;Riederich;07123/92591598;0165/3261546;;gerborghaendel@company.none
75;Frau;;Ottilie;Fehrenbacher;;Dülmener Straße;192;67271;Kleinkarlbach;06359/64318305;;;ottilie.fehrenbacher@email.none
76;Herr;Dr.;Paulinus;Buchholz;31.12.1940;Wildenburg-Bahnhof;34;53557;Bad Hönningen;02635/94953728;0162/5759135;;paulinus.buchholz@web.none
77;Herr;Dr.;Nathanael;Gemmer;;Schweitzerstraße;115;27753;Delmenhorst;04221/24032782;;;nathanael.1969@retromail.none
78;Herr;;Norman;Stahnke;;Oedinger Straße;157;54298;Gilzem;06525/16021043;0171/7587910;;n-stahnke@anymail.none
79;k.A.;;Dorlis;Bohn;;Biberstraße;58;36358;Herbstein;06643/71575265;0156/4758717;;
80;Herr;;Bartold;Schuh;;Marienburger Straße;41;78256;Steißlingen;07738/15157846;0154/7587082;;bartold-schuh@company.none
81;Frau;;Tilla;Neitzel;;Karl-Schober-Straße;96;25860;Olderup;04846/3894180;;;
82;k.A.;;Thilo;Silber;;An den Kastanien;131;45468;Mülheim an der Ruhr;0208/57425641;0164/9564040;;thilosilber@inter-mail.none
83;Herr;;Meik;Kauffmann;;Theodor-Körner-Straße;194;55294;Bodenheim;06135/67099464;0175/2263700;;
84;Frau;;Reglind;Kipping;16.02.1915;Spiekersstraße;190;86750;Megesheim;09082/40217873;0179/9008699;;reglind_kipping@quickmail.none
85;Herr;;Edelbert;Frische;;Frankenhof;98;38531;Rötgesbüttel;05304/29405121;;;edelbert-1934@domain.none
86;Herr;;Maic;Katz;02.02.1904;Gilgenbacher Straße;19;76889;Oberschlettenbach;06343/46306371;;;maickatz@anymail.none
87;Frau;;Jacqueline;Warmuth;;Kornfeldstraße;34;73433;Röthardt;07361/31460510;0151/1967351;;
88;Herr;;Jean;Bongartz;;Am Hövelwald;104;90587;Tuchenbach;0911/34816950;0178/8283712;;j-1970@open-mail.none
89;k.A.;;Fabio;Schwendemann;16.05.1961;Im Steilen Stück;26;57258;Freudenberg;;;;f-1961@funmail.none
90;Frau;;Rosl;Breit;12.06.1913;Husarenstraße;170;87471;Durach;0831/48974117;0165/8636916;;rosl_breit@ultramail.none
91;k.A.;;Elfie;Schraml;;Matthiasstraße;121;56479;Neunkirchen;02664/66698737;0156/1662547;;elfie-schraml@live-mail.none
92;Frau;;Sigrid;Kiwitt;;Im Frohnchen;67;33659;Bielefeld;0521/72676012;0157/9333487;0521/56175342;sigrid_kiwitt@quickmail.none
93;Herr;;Karlmann;Lichtenberg;;Ketteler Straße;198;92318;Neumarkt;09181/15379191;0158/8956786;;karlmann_1984@trashmail.none
94;Herr;;Lennard;Deuschle;12.07.2003;Nürburgstraße;162;37217;Witzenhausen;05542/91268516;;;lennard_deuschle@retromail.none
95;Herr;;Wieland;Newton;;Bergstraße;45;53518;Adenau;02691/28517769;0176/1313511;;wieland-newton@live-mail.none
96;Frau;;Rosetraut;Strittmatter;;Theresienstraße;31;37079;Göttingen;0551/15756585;;;r_strittmatter@anymail.none
97;Frau;;Trautchen;Heinisch;;Weidenstück;56;56242;Quirnbach;02626/18373650;0172/9547001;;trautchen_heinisch@email.none
98;Herr;;Christhart;Niessen;;Himburg;167;77933;Lahr;07821/9345280;0157/9693685;;christhart.niessen@net-mail.none
99;k.A.;;Florine;Nikolic;16.09.1989;Damaschkestraße;99;91465;Ergersheim;09847/28764048;0154/6736245;;fnikolic@justmail.none
100;Herr;;Sergius;Freudenberger;25.08.2008;Holtener Straße;144;32479;Hille;05703/75866396;0175/8452476;;s_08@mymail.none
